date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,CFACPR,CFACSHR,OPENPRC,RETX
1981-07-02,AAPL,APPLE COMPUTER INC,03783310,25.75,25.875,-25.8125,,0.000000,56.0,56.0,,0.000000
1981-07-06,AAPL,APPLE COMPUTER INC,03783310,24.875,25.125,-25.0,,-0.031477,56.0,56.0,,-0.031477
1981-07-07,AAPL,APPLE COMPUTER INC,03783310,25.125,25.375,-25.25,,0.010000,56.0,56.0,,0.010000
1981-07-08,AAPL,APPLE COMPUTER INC,03783310,26.125,26.25,-26.1875,,0.037129,56.0,56.0,,0.037129
1981-07-09,AAPL,APPLE COMPUTER INC,03783310,24.125,24.25,-24.1875,,-0.076372,56.0,56.0,,-0.076372
1981-07-10,AAPL,APPLE COMPUTER INC,03783310,22.25,22.375,-22.3125,,-0.077519,56.0,56.0,,-0.077519
1981-07-13,AAPL,APPLE COMPUTER INC,03783310,22.75,22.875,-22.8125,,0.022409,56.0,56.0,,0.022409
1981-07-14,AAPL,APPLE COMPUTER INC,03783310,23.75,24.0,-23.875,,0.046575,56.0,56.0,,0.046575
1981-07-15,AAPL,APPLE COMPUTER INC,03783310,24.375,24.5,-24.4375,,0.023560,56.0,56.0,,0.023560
1981-07-16,AAPL,APPLE COMPUTER INC,03783310,25.0,25.25,-25.125,,0.028133,56.0,56.0,,0.028133
1981-07-17,AAPL,APPLE COMPUTER INC,03783310,25.875,26.0,-25.9375,,0.032338,56.0,56.0,,0.032338
1981-07-20,AAPL,APPLE COMPUTER INC,03783310,24.125,24.25,-24.1875,,-0.067470,56.0,56.0,,-0.067470
1981-07-21,AAPL,APPLE COMPUTER INC,03783310,24.0,24.125,-24.0625,,-0.005168,56.0,56.0,,-0.005168
1981-07-22,AAPL,APPLE COMPUTER INC,03783310,22.625,22.875,-22.75,,-0.054545,56.0,56.0,,-0.054545
1981-07-23,AAPL,APPLE COMPUTER INC,03783310,23.25,23.375,-23.3125,,0.024725,56.0,56.0,,0.024725
1981-07-24,AAPL,APPLE COMPUTER INC,03783310,24.0,24.125,-24.0625,,0.032172,56.0,56.0,,0.032172
1981-07-27,AAPL,APPLE COMPUTER INC,03783310,25.0,25.125,-25.0625,,0.041558,56.0,56.0,,0.041558
1981-07-28,AAPL,APPLE COMPUTER INC,03783310,24.125,24.25,-24.1875,,-0.034913,56.0,56.0,,-0.034913
1981-07-29,AAPL,APPLE COMPUTER INC,03783310,23.75,23.875,-23.8125,,-0.015504,56.0,56.0,,-0.015504
1981-07-30,AAPL,APPLE COMPUTER INC,03783310,24.625,24.875,-24.75,,0.039370,56.0,56.0,,0.039370
1981-07-31,AAPL,APPLE COMPUTER INC,03783310,25.0,25.125,-25.0625,,0.012626,56.0,56.0,,0.012626
1981-08-03,AAPL,APPLE COMPUTER INC,03783310,24.75,25.0,-24.875,,-0.007481,56.0,56.0,,-0.007481
1981-08-04,AAPL,APPLE COMPUTER INC,03783310,25.125,25.25,-25.1875,,0.012563,56.0,56.0,,0.012563
