date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,CFACPR,CFACSHR,OPENPRC,RETX
1980-06-09,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,56.625,57.5,56.75,317900.0,-0.006565,4.0,4.0,,-0.006565
1980-06-10,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,56.625,57.75,57.5,370000.0,0.013216,4.0,4.0,,0.013216
1980-06-11,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,57.25,58.375,58.0,511200.0,0.008696,4.0,4.0,,0.008696
1980-06-12,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,57.25,58.375,58.0,523600.0,0.000000,4.0,4.0,,0.000000
1980-06-13,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,57.875,59.125,58.875,451300.0,0.015086,4.0,4.0,,0.015086
1980-06-16,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.75,60.375,60.375,809900.0,0.025478,4.0,4.0,,0.025478
1980-06-17,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.875,60.375,58.875,537100.0,-0.024845,4.0,4.0,,-0.024845
1980-06-18,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.875,59.75,59.625,494500.0,0.012739,4.0,4.0,,0.012739
1980-06-19,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,57.625,59.75,57.875,335200.0,-0.029350,4.0,4.0,,-0.029350
1980-06-20,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,57.75,58.375,57.875,294300.0,0.000000,4.0,4.0,,0.000000
1980-06-23,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,57.875,59.25,58.875,547500.0,0.017279,4.0,4.0,,0.017279
1980-06-24,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.5,59.375,59.375,444700.0,0.008493,4.0,4.0,,0.008493
1980-06-25,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,59.0,60.25,59.75,572100.0,0.006316,4.0,4.0,,0.006316
1980-06-26,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,59.125,60.25,59.25,487200.0,-0.008368,4.0,4.0,,-0.008368
1980-06-27,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.75,60.0,59.75,341100.0,0.008439,4.0,4.0,,0.008439
1980-06-30,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.375,59.5,58.75,303100.0,-0.016736,4.0,4.0,,-0.016736
1980-07-01,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,58.375,59.625,59.5,407000.0,0.012766,4.0,4.0,,0.012766
1980-07-02,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,59.375,61.0,60.625,639100.0,0.018908,4.0,4.0,,0.018908
1980-07-03,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,60.625,61.5,61.125,465800.0,0.008247,4.0,4.0,,0.008247
1980-07-07,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.0,62.25,62.0,588500.0,0.014315,4.0,4.0,,0.014315
1980-07-08,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.25,62.25,61.75,503000.0,-0.004032,4.0,4.0,,-0.004032
1980-07-09,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.25,62.875,61.5,477800.0,-0.004049,4.0,4.0,,-0.004049
1980-07-10,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.25,62.375,61.625,351900.0,0.002033,4.0,4.0,,0.002033
1980-07-11,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,61.625,62.875,62.75,431300.0,0.018256,4.0,4.0,,0.018256
1980-07-14,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,62.75,65.0,65.0,504800.0,0.035857,4.0,4.0,,0.035857
1980-07-15,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,63.75,65.25,63.75,553300.0,-0.019231,4.0,4.0,,-0.019231
1980-07-16,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,63.625,64.625,64.25,528300.0,0.007843,4.0,4.0,,0.007843
1980-07-17,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.0,65.625,65.625,305000.0,0.021401,4.0,4.0,,0.021401
1980-07-18,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.875,65.75,65.125,438100.0,-0.007619,4.0,4.0,,-0.007619
1980-07-21,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.25,66.0,66.0,437200.0,0.013436,4.0,4.0,,0.013436
1980-07-22,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.75,66.125,65.125,553000.0,-0.013258,4.0,4.0,,-0.013258
1980-07-23,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.375,65.375,64.875,449000.0,-0.003839,4.0,4.0,,-0.003839
1980-07-24,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.25,65.0,64.75,397400.0,-0.001927,4.0,4.0,,-0.001927
1980-07-25,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,63.875,64.625,64.375,375800.0,-0.005792,4.0,4.0,,-0.005792
1980-07-28,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.0,65.25,65.0,270800.0,0.009709,4.0,4.0,,0.009709
1980-07-29,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.375,65.5,65.125,410600.0,0.001923,4.0,4.0,,0.001923
1980-07-30,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.125,66.0,65.5,555700.0,0.005758,4.0,4.0,,0.005758
1980-07-31,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.375,65.375,65.25,644100.0,-0.003817,4.0,4.0,,-0.003817
1980-08-01,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.375,65.375,65.125,450700.0,-0.001916,4.0,4.0,,-0.001916
1980-08-04,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.5,65.0,64.75,373600.0,-0.005758,4.0,4.0,,-0.005758
1980-08-05,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.125,65.375,64.25,315800.0,-0.007722,4.0,4.0,,-0.007722
1980-08-06,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.0,65.625,65.625,400800.0,0.021401,4.0,4.0,,0.021401
1980-08-07,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.75,65.75,65.75,511400.0,0.015010,4.0,4.0,,0.001905
1980-08-08,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.25,66.25,65.25,745300.0,-0.007605,4.0,4.0,,-0.007605
1980-08-11,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.125,66.75,66.75,424400.0,0.022989,4.0,4.0,,0.022989
1980-08-12,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.375,68.0,66.75,702900.0,0.000000,4.0,4.0,,0.000000
1980-08-13,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.5,67.5,66.75,452200.0,0.000000,4.0,4.0,,0.000000
1980-08-14,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.75,69.125,68.875,472700.0,0.031835,4.0,4.0,,0.031835
1980-08-15,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,68.25,69.125,68.75,517000.0,-0.001815,4.0,4.0,,-0.001815
1980-08-18,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.375,68.0,66.375,550900.0,-0.034545,4.0,4.0,,-0.034545
1980-08-19,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.875,67.0,66.0,452000.0,-0.005650,4.0,4.0,,-0.005650
1980-08-20,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.875,67.875,66.875,339800.0,0.013258,4.0,4.0,,0.013258
1980-08-21,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.625,67.75,67.5,273600.0,0.009346,4.0,4.0,,0.009346
1980-08-22,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,67.375,68.875,67.375,409600.0,-0.001852,4.0,4.0,,-0.001852
1980-08-25,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.625,67.5,67.125,245900.0,-0.003711,4.0,4.0,,-0.003711
1980-08-26,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.625,67.75,66.75,473200.0,-0.005587,4.0,4.0,,-0.005587
1980-08-27,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.875,67.0,65.875,591900.0,-0.013109,4.0,4.0,,-0.013109
1980-08-28,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.875,66.0,65.0,421900.0,-0.013283,4.0,4.0,,-0.013283
1980-08-29,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.75,65.625,65.5,378200.0,0.007692,4.0,4.0,,0.007692
1980-09-02,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.375,66.5,66.125,292200.0,0.009542,4.0,4.0,,0.009542
1980-09-03,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.125,67.5,67.5,356800.0,0.020794,4.0,4.0,,0.020794
1980-09-04,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.25,68.125,66.625,548700.0,-0.012963,4.0,4.0,,-0.012963
1980-09-05,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.125,67.25,66.5,239700.0,-0.001876,4.0,4.0,,-0.001876
1980-09-08,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.25,66.625,64.25,252700.0,-0.033835,4.0,4.0,,-0.033835
1980-09-09,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,64.125,66.25,66.125,412600.0,0.029183,4.0,4.0,,0.029183
1980-09-10,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.25,66.25,65.75,376500.0,-0.005671,4.0,4.0,,-0.005671
1980-09-11,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.75,66.375,66.375,426000.0,0.009506,4.0,4.0,,0.009506
1980-09-12,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.75,66.5,65.875,432400.0,-0.007533,4.0,4.0,,-0.007533
1980-09-15,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.0,66.25,66.125,325900.0,0.003795,4.0,4.0,,0.003795
1980-09-16,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.25,66.375,65.625,428200.0,-0.007561,4.0,4.0,,-0.007561
1980-09-17,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.625,67.625,67.25,829500.0,0.024762,4.0,4.0,,0.024762
1980-09-18,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.25,67.375,66.5,1026000.0,-0.011152,4.0,4.0,,-0.011152
1980-09-19,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.25,67.5,67.0,548800.0,0.007519,4.0,4.0,,0.007519
1980-09-22,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.5,68.375,68.125,568900.0,0.016791,4.0,4.0,,0.016791
1980-09-23,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,65.625,69.0,66.875,918900.0,-0.018349,4.0,4.0,,-0.018349
1980-09-24,IBM,INTERNATIONAL BUSINESS MACHS COR,45920010,66.75,68.0,67.5,547700.0,0.009346,4.0,4.0,,0.009346
